47762.4843   7.981
47763.4930   7.512
47765.4895   7.048
47766.4960   7.975
47767.4947   7.499
47768.4969   7.797
47770.4947   7.759
47771.4972   8.017
47772.4866   7.819
47773.4816   7.942
47774.4975   7.504
47775.4803   8.037
47776.4820   7.524
48101.4375   7.390
48102.3822   7.888
48103.3543   7.701
48104.3817   7.734
48104.4154   7.754
48108.3916   7.680
48109.3605   8.002
48110.3579   7.517
48111.3736   8.081
48112.3367   7.611
48112.4572   7.706
48113.3264   7.928
48113.3972   7.915
48114.3978   7.399
48116.3912   7.246
48117.4563   8.048
48118.3851   7.586
48119.3840   7.794
48122.3612   7.863
48122.4879   7.517
48123.3310   7.780
48123.3508   7.805
48123.4138   7.828
48123.4845   7.825
48126.3369   8.080
48126.4199   8.075
48126.4901   8.102
48127.2978   7.541
48127.3972   7.647
48503.3881   7.251  
48504.3130   7.888  
48504.4223   7.931  
48505.2037   7.920  
48505.3307   7.786  
48505.4430   7.691  
48506.2106   7.620  
48506.3389   7.665  
48506.3789   7.684  
48506.4397   7.714  
48506.5063   7.721  
48507.1722   8.020  
48507.3142   8.049  
48507.3465   8.044  
48507.3752   8.046  
48507.4281   8.039  
48507.5115   8.015  
48508.1661   7.487  
48508.2689   7.593  
48508.2994   7.622  
48508.3436   7.652  
48508.3877   7.711  
48508.4310   7.747  
48508.5142   7.807  
48509.1745   8.066  
48509.2161   8.071  
48509.2779   8.082  
48509.2946   8.115  
48509.3371   8.108  
48509.3726   8.088  
48509.4234   8.084  
48509.5102   7.977  
48510.1685   7.612  
48510.2585   7.654  
48510.3207   7.691  
48510.3845   7.722  
48510.4188   7.744  
48510.5136   7.787  
48511.1701   7.908  
48511.2729   7.933  
48511.3314   7.943  
48511.3775   7.952  
48511.4245   7.970  
48511.5113   7.967  
48512.1753   7.349  
48512.2621   7.277  
48512.3173   7.284  
48512.3675   7.321  
48512.4231   7.378  
48512.5164   7.463  
48513.1840   7.980  
48513.2719   7.992  
48513.3288   8.008  
48513.3773   8.031  
48513.4266   8.048  
48514.1817   7.182  
48514.2775   7.306  
48514.3337   7.367  
48514.3858   7.434  
48514.4303   7.499  
48515.1729   7.954  
48515.3125   7.962  
48515.3748   7.981  
48515.4170   7.983  
48515.5214   8.002  
48516.1641   7.742  
48516.2493   7.680  
48516.3425   7.642  
48516.3797   7.622  
48516.4303   7.601  
48517.1623   7.727  
48517.2405   7.765  
48517.3353   7.818  
48517.3805   7.827  
48517.4236   7.862  
48517.5037   7.898  
48518.1771   8.045  
48518.2552   7.973  
48518.3385   7.739  
48518.3873   7.486  
48518.5186   7.075  
48519.1908   7.824  
48519.3092   7.888  
48519.3779   7.931  
48519.4163   7.944  
48519.5237   7.976  
48520.1611   8.005  
48520.2968   7.783  
48520.3841   7.596  
48520.5195   7.473  
48521.1811   7.732  
48521.3460   7.780  
48522.1725   7.962  
48522.3015   7.999  
48523.1637   7.410  
48523.2975   7.547  
48523.5154   7.756  
48852.4168   7.222
48854.3529   7.251
